Year, Month, EcoregionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitCapacity, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, resorbedNused, mineralNused, Ndemand,
5, 6, 2, acerrubr, 12, 617.0, 7.4, 0.01, 0.00, 1.85, 0.00, 11.14, 1.02, 0.35, 0.92, 0.92, 0.99, 1.00, 200, 15000, 624, 624.3, 16.9, 29.49, 29.49, 27.64, 29.49, 1.86, 0.00,1.02, 0.14, 1.16
5, 7, 2, acerrubr, 12, 644.6, 36.9, 0.01, 0.00, 1.93, 0.00, 11.46, 0.00, 0.40, 0.82, 1.00, 0.99, 1.00, 200, 15000, 681, 681.5, 19.5, 32.58, 32.58, 30.64, 32.58, 1.94, 0.00,0.00, 1.28, 1.28
5, 8, 2, acerrubr, 12, 675.3, 69.4, 0.01, 0.00, 2.03, 0.00, 10.80, 0.00, 0.46, 1.00, 0.98, 0.99, 1.00, 200, 15000, 744, 744.7, 18.3, 44.16, 44.16, 42.13, 44.16, 2.03, 0.00,0.00, 1.73, 1.73
5, 9, 2, acerrubr, 12, 717.4, 113.6, 0.01, 0.00, 2.15, 56.79, 9.64, 1.48, 0.52, 1.00, 0.50, 0.99, 1.00, 200, 15000, 830, 831.0, 13.5, 25.88, 25.88, 23.72, -30.92, 2.16, 56.80,0.00, 1.02, 1.02
5, 10, 2, acerrubr, 12, 741.1, 82.7, 0.01, 0.00, 2.22, 82.67, 8.94, 1.48, 0.49, 1.00, 0.00, 0.99, 1.00, 200, 15000, 823, 823.8, 7.5, 0.00, 0.06, -2.23, -82.61, 2.23, 82.67,0.00, 0.00, 0.00
5, 11, 2, acerrubr, 12, 738.9, 0.1, 0.01, 0.00, 2.22, 0.06, 9.08, 1.48, 0.39, 1.00, 0.00, 0.99, 1.00, 200, 15000, 738, 738.9, -0.8, 0.00, 0.00, -2.22, -0.06, 2.22, 0.06,0.00, 0.00, 0.00
5, 12, 2, acerrubr, 13, 736.6, 0.0, 0.01, 0.00, 2.21, 0.00, 8.90, 1.48, 0.39, 1.00, 0.00, 0.99, 1.00, 200, 15000, 736, 736.6, -8.2, 0.00, 0.00, -2.22, 0.00, 2.22, 0.00,0.00, 0.00, 0.00
5, 1, 2, acerrubr, 13, 734.4, 0.0, 0.01, 0.00, 2.20, 0.00, 8.77, 1.48, 0.38, 1.00, 0.00, 0.99, 1.00, 200, 15000, 734, 734.4, -11.7, 0.00, 0.00, -2.21, 0.00, 2.21, 0.00,0.00, 0.00, 0.00
5, 2, 2, acerrubr, 13, 732.2, 0.0, 0.01, 0.00, 2.20, 0.00, 8.59, 1.48, 0.38, 1.00, 0.00, 0.99, 1.00, 200, 15000, 732, 732.2, -9.8, 0.00, 0.00, -2.20, 0.00, 2.20, 0.00,0.00, 0.00, 0.00
5, 3, 2, acerrubr, 13, 730.0, 0.0, 0.01, 0.00, 2.19, 0.00, 8.55, 1.48, 0.38, 1.00, 0.00, 0.99, 1.00, 200, 15000, 730, 730.0, -3.9, 0.00, 0.00, -2.20, 0.00, 2.20, 0.00,0.00, 0.00, 0.00
